year,region_name,region_code,indicator_name,value,notes,extracted_at,data_quality_flag,sector
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,864.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,6170.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,1757.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37679.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,106365.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,7537.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,38318.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,50895.0000,,2025-12-17 11:56:51.566980,V,Unknown
2009,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,85.0000,,2025-12-17 11:56:51.566980,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,46933.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,91.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,155746.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5657.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36926.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,19763.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,830.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,6126.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,1831.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37582.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,108715.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,7462.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36519.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,39471.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,46933.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,91.0000,,2025-12-17 11:57:07.685829,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,155746.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5657.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36926.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,19763.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,830.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,6126.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,1831.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37582.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,108715.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,7462.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36519.0000,,2025-12-17 11:59:06.570957,V,Unknown
2010,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,39471.0000,,2025-12-17 11:59:06.570957,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,47020.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,102.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,157313.0000,,2025-12-17 11:57:23.586886,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,102.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,47020.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,39438.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36253.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,7582.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,110189.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,37821.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,2182.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,5935.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,961.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,20896.0000,,2025-12-17 11:59:22.158029,V,Unknown
2011,Duisburg,05112,Sozialversicherungspflichtig Beschäftigte insgesamt,36759.0000,,2025-12-17 11:59:22.158029,V,Unknown
