region_code,region_name,year,indicator_name,value,notes,gender,nationality
05112,Duisburg,2008,Deutsche Bevölkerung,12726.0,,total,total
05112,Duisburg,2009,Deutsche Bevölkerung,29000.0,,total,total
05112,Duisburg,2009,Deutsche Bevölkerung,13319.0,,total,total
05112,Duisburg,2009,Deutsche Bevölkerung,147276.0,,total,total
05112,Duisburg,2009,Deutsche Bevölkerung,95073.0,,total,total
05112,Duisburg,2010,Deutsche Bevölkerung,95515.0,,total,total
05112,Duisburg,2010,Deutsche Bevölkerung,29051.0,,total,total
05112,Duisburg,2010,Deutsche Bevölkerung,14012.0,,total,total
05112,Duisburg,2010,Deutsche Bevölkerung,148334.0,,total,total
05112,Duisburg,2011,Deutsche Bevölkerung,14925.0,,total,total
05112,Duisburg,2011,Deutsche Bevölkerung,29437.0,,total,total
05112,Duisburg,2011,Deutsche Bevölkerung,97687.0,,total,total
05112,Duisburg,2011,Deutsche Bevölkerung,151663.0,,total,total
05112,Duisburg,2012,Deutsche Bevölkerung,153937.0,,total,total
05112,Duisburg,2013,Deutsche Bevölkerung,154590.0,,total,total
05112,Duisburg,2013,Deutsche Bevölkerung,24653.0,,total,total
05112,Duisburg,2013,Deutsche Bevölkerung,90223.0,,total,total
05112,Duisburg,2013,Deutsche Bevölkerung,13141.0,,total,total
05112,Duisburg,2014,Deutsche Bevölkerung,13835.0,,total,total
05112,Duisburg,2014,Deutsche Bevölkerung,24953.0,,total,total
05112,Duisburg,2014,Deutsche Bevölkerung,155770.0,,total,total
05112,Duisburg,2014,Deutsche Bevölkerung,92041.0,,total,total
05112,Duisburg,2015,Deutsche Bevölkerung,26682.0,,total,total
05112,Duisburg,2015,Deutsche Bevölkerung,93493.0,,total,total
05112,Duisburg,2015,Deutsche Bevölkerung,14491.0,,total,total
05112,Duisburg,2015,Deutsche Bevölkerung,158132.0,,total,total
05112,Duisburg,2016,Deutsche Bevölkerung,27771.0,,total,total
05112,Duisburg,2016,Deutsche Bevölkerung,95318.0,,total,total
05112,Duisburg,2016,Deutsche Bevölkerung,161545.0,,total,total
05112,Duisburg,2016,Deutsche Bevölkerung,15363.0,,total,total
05112,Duisburg,2017,Deutsche Bevölkerung,29378.0,,total,total
05112,Duisburg,2017,Deutsche Bevölkerung,97189.0,,total,total
05112,Duisburg,2017,Deutsche Bevölkerung,16554.0,,total,total
05112,Duisburg,2017,Deutsche Bevölkerung,166143.0,,total,total
05112,Duisburg,2018,Deutsche Bevölkerung,171141.0,,total,total
05112,Duisburg,2018,Deutsche Bevölkerung,31035.0,,total,total
05112,Duisburg,2018,Deutsche Bevölkerung,99164.0,,total,total
05112,Duisburg,2018,Deutsche Bevölkerung,17850.0,,total,total
05112,Duisburg,2019,Deutsche Bevölkerung,174366.0,,total,total
05112,Duisburg,2019,Deutsche Bevölkerung,32199.0,,total,total
05112,Duisburg,2019,Deutsche Bevölkerung,100220.0,,total,total
05112,Duisburg,2019,Deutsche Bevölkerung,18979.0,,total,total
05112,Duisburg,2020,Deutsche Bevölkerung,32670.0,,total,total
05112,Duisburg,2020,Deutsche Bevölkerung,173935.0,,total,total
05112,Duisburg,2020,Deutsche Bevölkerung,19654.0,,total,total
05112,Duisburg,2020,Deutsche Bevölkerung,99489.0,,total,total
05112,Duisburg,2021,Deutsche Bevölkerung,20700.0,,total,total
05112,Duisburg,2021,Deutsche Bevölkerung,33820.0,,total,total
05112,Duisburg,2021,Deutsche Bevölkerung,176019.0,,total,total
05112,Duisburg,2021,Deutsche Bevölkerung,100012.0,,total,total
05112,Duisburg,2022,Deutsche Bevölkerung,22139.0,,total,total
05112,Duisburg,2022,Deutsche Bevölkerung,34931.0,,total,total
05112,Duisburg,2022,Deutsche Bevölkerung,101394.0,,total,total
05112,Duisburg,2022,Deutsche Bevölkerung,180520.0,,total,total
05112,Duisburg,2023,Deutsche Bevölkerung,183058.0,,total,total
05112,Duisburg,2023,Deutsche Bevölkerung,23496.0,,total,total
05112,Duisburg,2023,Deutsche Bevölkerung,101747.0,,total,total
05112,Duisburg,2023,Deutsche Bevölkerung,35766.0,,total,total
05112,Duisburg,2024,Deutsche Bevölkerung,101500.0,,total,total
05112,Duisburg,2024,Deutsche Bevölkerung,36249.0,,total,total
05112,Duisburg,2024,Deutsche Bevölkerung,183866.0,,total,total
05112,Duisburg,2024,Deutsche Bevölkerung,24455.0,,total,total
05113,Essen,2008,Deutsche Bevölkerung,28213.0,,total,total
05113,Essen,2008,Deutsche Bevölkerung,106644.0,,total,total
05113,Essen,2008,Deutsche Bevölkerung,25230.0,,total,total
05113,Essen,2008,Deutsche Bevölkerung,172304.0,,total,total
05113,Essen,2009,Deutsche Bevölkerung,26535.0,,total,total
05113,Essen,2009,Deutsche Bevölkerung,172492.0,,total,total
05113,Essen,2009,Deutsche Bevölkerung,28112.0,,total,total
05113,Essen,2009,Deutsche Bevölkerung,105514.0,,total,total
05113,Essen,2010,Deutsche Bevölkerung,105900.0,,total,total
05113,Essen,2010,Deutsche Bevölkerung,28382.0,,total,total
05113,Essen,2010,Deutsche Bevölkerung,174620.0,,total,total
05113,Essen,2010,Deutsche Bevölkerung,28041.0,,total,total
05113,Essen,2011,Deutsche Bevölkerung,178328.0,,total,total
05113,Essen,2011,Deutsche Bevölkerung,107365.0,,total,total
05113,Essen,2011,Deutsche Bevölkerung,28687.0,,total,total
05113,Essen,2011,Deutsche Bevölkerung,29897.0,,total,total
05113,Essen,2012,Deutsche Bevölkerung,181454.0,,total,total
05113,Essen,2013,Deutsche Bevölkerung,100185.0,,total,total
05113,Essen,2013,Deutsche Bevölkerung,183032.0,,total,total
05113,Essen,2013,Deutsche Bevölkerung,21703.0,,total,total
05113,Essen,2013,Deutsche Bevölkerung,27965.0,,total,total
05113,Essen,2014,Deutsche Bevölkerung,102275.0,,total,total
05113,Essen,2014,Deutsche Bevölkerung,185305.0,,total,total
05113,Essen,2014,Deutsche Bevölkerung,29876.0,,total,total
05113,Essen,2014,Deutsche Bevölkerung,22340.0,,total,total
05113,Essen,2015,Deutsche Bevölkerung,23942.0,,total,total
05113,Essen,2015,Deutsche Bevölkerung,188951.0,,total,total
05113,Essen,2015,Deutsche Bevölkerung,31514.0,,total,total
05113,Essen,2015,Deutsche Bevölkerung,104447.0,,total,total
05113,Essen,2016,Deutsche Bevölkerung,26944.0,,total,total
05113,Essen,2016,Deutsche Bevölkerung,194961.0,,total,total
05113,Essen,2016,Deutsche Bevölkerung,34038.0,,total,total
05113,Essen,2016,Deutsche Bevölkerung,107224.0,,total,total
05113,Essen,2017,Deutsche Bevölkerung,27787.0,,total,total
05113,Essen,2017,Deutsche Bevölkerung,36153.0,,total,total
05113,Essen,2017,Deutsche Bevölkerung,108762.0,,total,total
05113,Essen,2017,Deutsche Bevölkerung,198662.0,,total,total
05113,Essen,2018,Deutsche Bevölkerung,110073.0,,total,total
05113,Essen,2018,Deutsche Bevölkerung,38601.0,,total,total
05113,Essen,2018,Deutsche Bevölkerung,202999.0,,total,total
05113,Essen,2018,Deutsche Bevölkerung,28743.0,,total,total
05113,Essen,2019,Deutsche Bevölkerung,29939.0,,total,total
05113,Essen,2019,Deutsche Bevölkerung,206797.0,,total,total
05113,Essen,2019,Deutsche Bevölkerung,40771.0,,total,total
05113,Essen,2019,Deutsche Bevölkerung,111036.0,,total,total
05113,Essen,2020,Deutsche Bevölkerung,42332.0,,total,total
05113,Essen,2020,Deutsche Bevölkerung,30395.0,,total,total
05113,Essen,2020,Deutsche Bevölkerung,110394.0,,total,total
05113,Essen,2020,Deutsche Bevölkerung,207221.0,,total,total
05113,Essen,2021,Deutsche Bevölkerung,31519.0,,total,total
05113,Essen,2021,Deutsche Bevölkerung,210270.0,,total,total
05113,Essen,2021,Deutsche Bevölkerung,44453.0,,total,total
05113,Essen,2021,Deutsche Bevölkerung,110566.0,,total,total
05113,Essen,2022,Deutsche Bevölkerung,46682.0,,total,total
05113,Essen,2022,Deutsche Bevölkerung,32900.0,,total,total
05113,Essen,2022,Deutsche Bevölkerung,111190.0,,total,total
05113,Essen,2022,Deutsche Bevölkerung,214396.0,,total,total
05113,Essen,2023,Deutsche Bevölkerung,33643.0,,total,total
05113,Essen,2023,Deutsche Bevölkerung,216498.0,,total,total
05113,Essen,2023,Deutsche Bevölkerung,48332.0,,total,total
05113,Essen,2023,Deutsche Bevölkerung,111368.0,,total,total
05113,Essen,2024,Deutsche Bevölkerung,34502.0,,total,total
05113,Essen,2024,Deutsche Bevölkerung,218894.0,,total,total
05113,Essen,2024,Deutsche Bevölkerung,50254.0,,total,total
05113,Essen,2024,Deutsche Bevölkerung,111284.0,,total,total
05914,Hagen,2008,Deutsche Bevölkerung,12573.0,,total,total
05914,Hagen,2008,Deutsche Bevölkerung,60991.0,,total,total
05914,Hagen,2008,Deutsche Bevölkerung,5349.0,,total,total
05914,Hagen,2008,Deutsche Bevölkerung,39000.0,,total,total
05914,Hagen,2009,Deutsche Bevölkerung,37981.0,,total,total
05914,Hagen,2009,Deutsche Bevölkerung,59774.0,,total,total
05914,Hagen,2009,Deutsche Bevölkerung,5596.0,,total,total
05914,Hagen,2009,Deutsche Bevölkerung,12019.0,,total,total
05914,Hagen,2010,Deutsche Bevölkerung,59912.0,,total,total
05914,Hagen,2010,Deutsche Bevölkerung,12051.0,,total,total
05914,Hagen,2010,Deutsche Bevölkerung,38180.0,,total,total
05914,Hagen,2010,Deutsche Bevölkerung,5722.0,,total,total
05914,Hagen,2011,Deutsche Bevölkerung,12265.0,,total,total
05914,Hagen,2011,Deutsche Bevölkerung,39185.0,,total,total
